City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,blackmans bay,-43.0167,147.3167,294.55,49,8,0.89,AU,1702254794
1,nizhniy ingash,56.2,96.53,238.52,100,18,0.24,RU,1702254794
2,smirnovo,54.5125,69.4222,237.17,98,22,3.05,KZ,1702254794
3,thompson,55.7435,-97.8558,257.24,92,100,2.06,CA,1702254673
4,gjovik,60.7947,10.6929,268.09,97,100,1.27,NO,1702254795
5,yellowknife,62.456,-114.3525,260.44,92,100,9.26,CA,1702254542
6,edinburgh of the seven seas,-37.0676,-12.3116,286.83,70,97,7.42,SH,1702254795
7,adamstown,-25.066,-130.1015,294.44,57,0,3.19,PN,1702254795
8,tiksi,71.6872,128.8694,247.52,100,100,2.16,RU,1702254795
9,sitka,57.0531,-135.33,277.09,81,75,3.6,US,1702254796
10,tsiombe,-25.3,45.4833,296.88,88,100,1.13,MG,1702254796
11,iqaluit,63.7506,-68.5145,269.0,79,100,6.71,CA,1702254796
12,new norfolk,-42.7826,147.0587,295.21,25,18,1.2,AU,1702254796
13,alice springs,-23.7,133.8833,289.9,48,100,4.96,AU,1702254610
14,san antonio de pale,-1.4014,5.6325,300.52,79,100,5.85,GQ,1702254796
15,tarawa,1.419,172.984,302.2,84,100,3.09,KI,1702254797
16,obubra,6.0752,8.329,297.48,77,37,1.83,NG,1702254797
17,nassau,40.7507,-73.5829,289.71,91,100,8.23,US,1702254545
18,carnarvon,-24.8667,113.6333,302.72,24,0,9.07,AU,1702254797
19,quiberon,47.4841,-3.1196,287.7,94,100,2.68,FR,1702254797
20,kingston,17.997,-76.7936,301.68,74,20,7.72,JM,1702254347
21,georgetown,5.4112,100.3354,300.11,94,20,1.03,MY,1702254797
22,albany,42.6001,-73.9662,281.58,90,100,1.79,US,1702254798
23,poronaysk,49.2167,143.1167,258.71,66,18,4.53,RU,1702254798
24,koper,45.5469,13.7294,280.77,97,100,1.03,SI,1702254798
25,mayfield,36.7417,-88.6367,277.12,79,0,2.59,US,1702254798
26,port elizabeth,-33.918,25.5701,287.65,92,0,1.54,ZA,1702254798
27,yemva,62.59,50.8594,250.65,95,100,3.19,RU,1702254799
28,susuman,62.7833,148.1667,250.92,99,86,2.68,RU,1702254799
29,heunghae,36.1125,129.3522,286.73,89,100,8.22,KR,1702254799
30,bethel,41.3712,-73.414,288.82,89,100,3.6,US,1702254799
31,port-aux-francais,-49.35,70.2167,277.16,79,74,9.47,TF,1702254799
32,konstantinovskoye,45.2992,42.6367,273.47,96,100,6.04,RU,1702254799
33,papatowai,-46.5619,169.4708,290.61,43,83,6.23,NZ,1702254800
34,qamdo,31.1667,97.2333,263.93,66,2,1.95,CN,1702254800
35,utrik,11.2278,169.8474,300.31,77,100,8.79,MH,1702254800
36,igarka,67.4667,86.5833,243.21,98,100,2.45,RU,1702254801
37,avarua,-21.2078,-159.775,299.18,83,100,11.83,CK,1702254801
38,klyuchi,52.2667,79.1667,251.42,89,17,2.74,RU,1702254801
39,hithadhoo,-0.6,73.0833,300.95,76,99,1.92,MV,1702254801
40,college,64.8569,-147.8028,249.51,69,75,1.54,US,1702254801
41,palikir - national government center,6.9248,158.1611,304.62,66,100,4.12,FM,1702254802
42,klaksvik,62.2266,-6.589,279.66,84,99,7.67,FO,1702254802
43,islamkot,24.6997,70.177,291.58,32,0,2.12,PK,1702254802
44,luderitz,-26.6481,15.1594,289.98,69,0,8.35,NA,1702254802
45,salinopolis,-0.6136,-47.3561,300.21,79,21,5.3,BR,1702254802
46,puerto ayora,-0.7393,-90.3518,297.29,87,35,3.3,EC,1702254802
47,tymovskoye,50.8456,142.655,253.44,89,100,1.83,RU,1702254803
48,general pico,-35.6566,-63.7568,294.99,30,0,4.71,AR,1702254691
49,mwene-ditu,-7.0,23.45,292.15,98,100,0.92,CD,1702254803
50,val-d'or,48.1002,-77.7828,271.2,86,75,4.63,CA,1702254524
51,sao joao da barra,-21.6403,-41.0511,296.2,80,60,2.08,BR,1702254803
52,waitangi,-43.9535,-176.5597,284.79,59,0,2.24,NZ,1702254804
53,nabire,-3.3667,135.4833,303.43,66,74,1.12,ID,1702254804
54,aykhal,66.0,111.5,245.49,99,100,2.33,RU,1702254804
55,lagoa,39.05,-27.9833,289.5,74,100,11.86,PT,1702254804
56,pointe-noire,-4.7761,11.8635,301.19,78,75,3.09,CG,1702254804
57,lozuvatka,48.0571,33.2858,274.39,99,100,3.13,UA,1702254804
58,kone,-21.0595,164.8658,304.15,39,100,2.35,NC,1702254805
59,puerto natales,-51.7236,-72.4875,279.55,87,63,2.06,CL,1702254687
60,chkalovsk,56.7647,43.2433,256.85,94,100,7.7,RU,1702254805
61,badger,64.8,-147.5333,249.46,73,0,1.54,US,1702254805
62,talnakh,69.4865,88.3972,247.15,99,100,4.43,RU,1702254800
63,grytviken,-54.2811,-36.5092,278.77,93,100,6.73,GS,1702254805
64,jamestown,42.097,-79.2353,276.23,87,100,5.14,US,1702254806
65,kirovsk,48.6375,38.6428,271.61,90,100,6.15,UA,1702254806
66,northam,51.0333,-4.2167,285.18,85,39,12.72,GB,1702254529
67,ulsteinvik,62.3432,5.8487,276.22,87,11,1.34,NO,1702254806
68,hermanus,-34.4187,19.2345,289.13,81,0,4.02,ZA,1702254807
